76046	9.946896	0.925352	1
24443	4.243017	1.412696	1
30631	12.930371	1.104059	3
62637	5.968029	1.195239	1
7965	6.284654	1.154152	2
11390	6.335151	0.233247	2
18002	0.479287	1.343554	2
25620	3.972136	0.363642	1
64394	5.772853	1.123543	1
38704	10.893194	1.519974	3
26033	10.973605	0.789629	3
8572	0.000000	1.128893	2
59916	4.071618	0.739883	1
9640	2.363383	0.798083	2
1295	4.248341	0.353916	2
13010	0.328234	0.220343	2
44840	14.040445	0.693041	3
30652	10.606080	1.576882	3
39226	1.011687	0.579194	1
33397	7.098146	0.515269	3
38087	13.295496	1.566665	3
46759	8.549312	1.610267	3
9425	1.745209	0.639889	2
16989	0.425186	0.478165	2
1013	2.655651	0.040266	2
10970	0.000000	1.424596	2
36546	1.703790	1.029962	1
5266	0.881897	0.988683	2
59299	5.022699	1.082315	1
1742	1.033332	1.400712	2
12380	2.859420	0.025884	2
73048	5.610852	0.042761	1
1465	0.375463	0.255865	2
33857	13.148022	1.377831	3
56214	2.898694	0.556367	1
18390	7.804306	0.697555	2
36646	7.707276	1.378007	3
43128	2.387299	0.044330	1
22940	11.858701	0.275061	3
26900	3.525212	0.212896	1
21124	10.129358	0.031767	3
5587	0.510199	0.046000	2
17876	5.875159	1.002025	2
6317	3.268071	0.214219	2
24266	3.098491	0.085100	1
26811	6.290674	0.435527	3
39693	1.636583	0.175244	1
16131	2.157310	1.682777	2
8608	6.267455	0.516483	2
8802	1.376993	1.362854	2
74	2.348724	0.645308	2
19967	1.315406	0.764368	2
35331	3.562160	1.424206	1
40816	8.803899	0.566773	3
43212	9.667701	0.323997	3
63815	7.305018	0.378251	1
6229	3.259353	0.736676	2
28078	1.258352	1.555382	1
73142	7.030829	0.326043	1
10867	2.905366	1.124132	2
72277	9.239668	1.113195	1
67663	8.106746	0.604163	1
26745	1.626896	1.025138	1
37504	3.970125	0.504612	1
39854	10.656563	1.068241	3
72484	15.635707	1.080577	1
58669	3.733933	0.169565	1
7080	0.000000	1.212299	2
45567	12.144688	1.005585	3
40587	9.487680	1.273070	3
73927	7.294602	1.270033	1
